111,sh000128,380基本,7242.9386,66.879,0.932,7176.0596,7179.0740,7244.3152,7164.4888,27480554,40876020352
112,sh000129,180波动,12123.4198,15.479,0.128,12107.9409,12082.3584,12129.5275,11975.1752,33533727,36541431537
113,sh000130,380波动,10473.8544,53.565,0.514,10420.2896,10416.6833,10478.2238,10389.9238,8591959,5746962392
114,sh000131,上证高新,1599.5750,42.076,2.701,1557.4995,1561.0592,1602.9370,1557.6508,2604141,6906477650
115,sh000132,上证100,6239.2910,48.654,0.786,6190.6372,6187.7162,6239.5462,6167.5941,4182755,7514743065
116,sh000133,上证150,5055.6200,108.578,2.195,4947.0421,4948.7766,5057.2141,4945.9532,6172968,8323011987
117,sh000134,上证银行,732.0115,-0.095,-0.013,732.1067,731.2834,732.6888,723.9060,8431378,5406295128
118,sh000135,180高贝,5470.0396,-27.465,-0.500,5497.5044,5481.2413,5481.2413,5414.5642,10258243,26777000550
119,sh000136,180低贝,10219.7949,86.219,0.851,10133.5761,10136.0791,10225.3535,10087.0377,23211241,20690896006
120,sh000137,380高贝,4828.6104,78.344,1.649,4750.2667,4747.6014,4828.8943,4731.0027,6350958,11182636395
121,sh000138,380低贝,6327.1523,32.622,0.518,6294.5304,6298.9327,6335.8146,6286.6159,8663366,9028613412
122,sh000139,上证转债,343.0679,0.640,0.187,342.4283,342.1546,343.0988,341.5029,6325606,9374581124
123,sh000141,380动态,3657.7909,65.312,1.818,3592.4789,3593.5499,3658.0736,3583.1558,14369061,25473923845
124,sh000142,380稳定,8011.8378,44.439,0.558,7967.3989,7968.3124,8013.5406,7949.0062,13111493,15402096507
125,sh000145,优势资源,4910.7138,41.349,0.849,4869.3647,4861.3088,4914.1704,4840.3556,7431719,8644851848
126,sh000146,优势制造,8082.6723,90.597,1.134,7992.0757,7981.2827,8086.3083,7920.3060,4814762,14068381785
127,sh000147,优势消费,8671.9880,-62.572,-0.716,8734.5596,8761.3534,8794.9396,8631.8578,4176681,16043831672
128,sh000148,消费领先,9042.6161,10.663,0.118,9031.9533,9017.0440,9044.5329,8929.5777,22857498,40965369277
129,sh000149,180红利,3063.2802,4.212,0.138,3059.0679,3058.2797,3064.9034,3032.9143,11752913,10478740784
130,sh000150,380红利,10383.5018,103.554,1.007,10279.9478,10282.8201,10399.9973,10263.0328,2857670,2029765182
131,sh000151,上国红利,1296.2054,11.703,0.911,1284.5021,1286.5342,1297.1690,1283.2076,7679521,4321927749
132,sh000152,上央红利,2047.3287,6.632,0.325,2040.6967,2041.1269,2049.5948,2029.1092,10629535,6247759041
133,sh000153,上民红利,2868.5258,17.080,0.599,2851.4454,2846.8473,2870.1338,2843.0069,1301524,1482081776
134,sh000155,市值百强,2697.1243,3.039,0.113,2694.0858,2688.1487,2698.3338,2665.0405,27788911,45103213037
135,sh000158,上证环保,1948.4606,23.889,1.241,1924.5720,1922.9523,1949.4130,1911.4642,5636902,10887619305
136,sh000159,沪股通,3073.7143,13.424,0.439,3060.2900,3056.3772,3074.6412,3037.2427,75490281,108751052408
137,sh000160,沪新丝路,1763.6031,16.471,0.943,1747.1318,1746.6403,1763.9471,1741.4441,16242366,14865542612
138,sh000161,沪中国造,1919.3226,26.256,1.387,1893.0669,1891.9666,1919.3907,1883.2720,8742494,26403464923
139,sh000162,沪互联+,3090.7583,55.119,1.816,3035.6388,3030.1014,3090.7583,3026.6170,6540037,14579676310
140,sh000170,50AH优选,5033.3069,-1.332,-0.026,5034.6390,4990.4414,5034.6980,4949.4541,10767269,20758970360
141,sh000300,沪深300,3877.4743,5.840,0.151,3871.6338,3864.8356,3878.1680,3831.2450,64717142,117194993853
142,sh000682,科创信息,993.4097,17.509,1.794,975.9010,976.4316,993.4097,972.5259,729770,4984414673
143,sh000683,科创生物,1199.2615,11.469,0.966,1187.7921,1190.5027,1204.6463,1182.4513,670594,3793618102
144,sh000687,科创高装,1157.4362,29.668,2.631,1127.7687,1127.9348,1157.6884,1122.0393,554515,2288406781
145,sh000688,科创50,975.6074,15.703,1.636,959.9046,960.5094,975.7427,956.7036,6269959,25980242899
146,sh000689,科创材料,1302.4202,23.160,1.810,1279.2603,1281.3515,1302.8761,1270.9037,453902,2241268827
147,sh000690,科创成长,1299.3894,25.500,2.002,1273.8895,1271.3485,1299.7033,1263.9789,1073450,5765253207
148,sh000802,500沪市,6565.0856,72.721,1.120,6492.3648,6489.8442,6566.3508,6475.8221,30196246,35992988894
149,sh000819,有色金属,5350.7962,49.955,0.942,5300.8413,5291.6124,5352.8791,5264.4189,7305932,13357055324
150,sh000823,800有色,5746.5883,59.922,1.054,5686.6664,5678.3146,5750.0744,5649.6039,6765329,10671886157
151,sh000827,中证环保,2128.7019,16.297,0.771,2112.4051,2107.6149,2130.3526,2082.4558,11479078,31266671089
152,sh000847,腾讯济安,2771.7404,34.679,1.267,2737.0617,2736.9210,2771.7902,2731.7642,19575952,25103865151
153,sh000849,300非银,7784.5503,-96.597,-1.226,7881.1470,7801.0938,7801.0938,7649.2266,8363837,12079500944
154,sh000851,百发100,14714.4465,213.352,1.471,14501.0941,14490.6837,14714.5757,14416.0994,9918524,23740024311
155,sh000852,中证1000,6391.0880,109.467,1.743,6281.6209,6286.8142,6391.0880,6275.6881,78772119,94464572534
156,sh000853,CSSW丝路,1514.2380,2.272,0.150,1511.9662,1511.0674,1514.7943,1498.6824,14063714,28448656666
157,sh000854,500原料,4536.9799,42.295,0.941,4494.6849,4493.7330,4537.9763,4478.6760,9650528,11207514147
158,sh000855,央视500,1368.1087,4.021,0.295,1364.0878,1361.8689,1368.4195,1351.3568,84606278,156716062940
159,sh000856,500工业,6101.4713,76.178,1.264,6025.2930,6019.3864,6101.4713,6002.3954,11456192,14461190255
160,sh000857,500医药,12700.5408,217.237,1.740,12483.3035,12524.8512,12732.7643,12509.3030,5295890,12589263459
161,sh000858,500信息,6203.1221,127.473,2.098,6075.6490,6070.0823,6203.8827,6042.2964,3884217,8423987998
162,sh000860,结构调整,1061.2038,16.753,1.604,1044.4513,1044.3756,1061.2230,1041.0568,23528556,27036044256
